PSMSL Site,PSMSL ID,NOAA ID,NOAA Name,RSL GridNum,Lat,Long,Regional Classification,US Coastline Intersect (1 = yes),Scenario,RSL contribution from VLM (trend: cm/year),Offset 1992 to 2000 (cm),Offset 2000 to 2005 (cm),RSL2005 (cm),RSL2020 (cm),RSL2030 (cm),RSL2040 (cm),RSL2050 (cm),RSL2060 (cm),RSL2070 (cm),RSL2080 (cm),RSL2090 (cm),RSL2100 (cm),RSL2110 (cm),RSL2120 (cm),RSL2130 (cm),RSL2140 (cm),RSL2150 (cm)
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,0.3 - MED,0.254,3,2,0,11,20,28,36,42,48,53,57,63,68,74,79,84,89
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,0.3 - LOW,0.254,3,2,0,9,14,21,28,33,38,42,46,48,52,56,60,64,67
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,0.3 - HIGH,0.254,3,2,0,14,25,35,44,52,59,65,70,79,87,95,102,110,117
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,0.5 - MED,0.254,3,2,0,12,21,30,39,48,57,65,73,82,91,100,110,119,129
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,0.5 - LOW,0.254,3,2,0,9,15,23,31,39,47,55,62,68,75,82,89,96,103
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,0.5 - HIGH,0.254,3,2,0,16,27,38,48,58,68,78,87,99,111,123,135,147,160
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,1.0 - MED,0.254,3,2,0,13,22,32,43,55,69,84,104,126,149,171,191,210,228
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,1.0 - LOW,0.254,3,2,0,9,16,25,34,45,57,70,87,101,117,132,146,160,172
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,1.0 - HIGH,0.254,3,2,0,16,28,40,52,66,82,100,120,146,179,221,275,344,425
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,1.5 - MED,0.254,3,2,0,13,23,34,48,66,86,109,136,165,194,215,235,254,275
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,1.5 - LOW,0.254,3,2,0,9,16,26,37,51,65,84,105,126,146,164,180,196,210
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,1.5 - HIGH,0.254,3,2,0,16,30,45,63,84,108,136,163,193,228,270,309,346,395
OCEAN_CITY_INLET,2292,8570280,"OCEAN CITY, FISHING PIER",45825,38.3267,-75.0833,Northeast,1,2.0 - MED,0.254,3,2,0,12,23,36,53,76,105,138,174,212,252,290,323,350,374
